Datetime,BarTrend,Barometer,TempIn,HumIn,TempOut,WindSpeed,WindSpeed10Min,WindDir,HumOut,RainRate,UV,SolarRad,RainStorm,StormStartDate,RainDay,RainMonth,RainYear,ETDay,ETMonth,ETYear,BatteryStatus,BatteryVolts,ForecastIcon,ForecastRuleNo,SunRise,SunSet,DatetimeWS,place,hum,pm_10_3_hour,pm_10_24_hour,pm_2p5_1_hour,aqi_nowcast_val,aqi_type,heat_index,pm_2p5_nowcast,pm_2p5_24_hour,tz_offset,pm_1,pct_pm_data_nowcast,pct_pm_data_24_hour,wet_bulb,aqi_val,aqi_desc,temp,pm_2p5_3_hour,pct_pm_data_3_hour,last_report_time,aqi_nowcast_desc,aqi_1_hour_val,pm_10_nowcast,aqi_1_hour_desc,pm_10_1_hour,dew_point,pm_10,pct_pm_data_1_hour,ts,pm_2p5
2025-06-02T00:00:10Z,0,30.147,78.1,64,69.5,3,3,80,83,0.0,255,32767,0.0,2127-15-31,0.0,0.0,27.46,0.0,0.0,0.0,0,4.81640625,6,44,05:34,20:30,2025-06-02 00:00:10.769429,Città della Scienza,78.0,6.8102307,7.9603868,5.3157015,4.4340496,EU EEA Common AQI,74.0,5.5425625,6.731421,7200,3.9714286,100,100,67.3,3.325714,Very Low,72.5,5.8202057,100,1748821500,Very Low,4.2525606,6.5126834,Very Low,6.2668743,65.3,4.357143,100,1748821500,4.1571426
2025-06-02T00:00:22Z,0,30.147,78.1,64,69.5,4,3,96,83,0.0,255,32767,0.0,2127-15-31,0.0,0.0,27.46,0.0,0.0,0.0,0,4.81640625,6,44,05:34,20:30,2025-06-02 00:00:21.823406,Città della Scienza,78.0,6.8102307,7.9603868,5.3157015,4.4340496,EU EEA Common AQI,74.0,5.5425625,6.731421,7200,3.9714286,100,100,67.3,3.325714,Very Low,72.5,5.8202057,100,1748821500,Very Low,4.2525606,6.5126834,Very Low,6.2668743,65.3,4.357143,100,1748821500,4.1571426
2025-06-02T00:00:33Z,0,30.147,78.1,64,69.4,3,3,96,83,0.0,255,32767,0.0,2127-15-31,0.0,0.0,27.46,0.0,0.0,0.0,0,4.81640625,6,44,05:34,20:30,2025-06-02 00:00:33.084416,Città della Scienza,78.2,6.6978936,7.91755,5.0916705,4.336761,EU EEA Common AQI,73.8,5.420952,6.693112,7200,3.9714286,100,100,67.2,3.4285712,Very Low,72.4,5.729732,100,1748822400,Very Low,4.073336,6.360585,Very Low,5.9743896,65.2,4.7714286,100,1748822400,4.285714
2025-06-02T00:00:44Z,0,30.143,78.1,64,69.5,3,3,96,83,0.0,255,32767,0.0,2127-15-31,0.0,0.0,27.46,0.0,0.0,0.0,0,4.81640625,6,44,05:34,20:30,2025-06-02 00:00:44.186412,Città della Scienza,78.2,6.6978936,7.91755,5.0916705,4.336761,EU EEA Common AQI,73.8,5.420952,6.693112,7200,3.9714286,100,100,67.2,3.4285712,Very Low,72.4,5.729732,100,1748822400,Very Low,4.073336,6.360585,Very Low,5.9743896,65.2,4.7714286,100,1748822400,4.285714
2025-06-02T00:00:55Z,0,30.143,78.1,64,69.4,4,3,109,83,0.0,255,32767,0.0,2127-15-31,0.0,0.0,27.46,0.0,0.0,0.0,0,4.81640625,6,44,05:34,20:30,2025-06-02 00:00:55.289411,Città della Scienza,78.2,6.6978936,7.91755,5.0916705,4.336761,EU EEA Common AQI,73.8,5.420952,6.693112,7200,3.9714286,100,100,67.2,3.4285712,Very Low,72.4,5.729732,100,1748822400,Very Low,4.073336,6.360585,Very Low,5.9743896,65.2,4.7714286,100,1748822400,4.285714
2025-06-02T00:01:06Z,0,30.143,78.1,64,69.4,2,3,101,83,0.0,255,32767,0.0,2127-15-31,0.0,0.0,27.46,0.0,0.0,0.0,0,4.81640625,6,44,05:34,20:30,2025-06-02 00:01:06.377418,Città della Scienza,78.2,6.6978936,7.91755,5.0916705,4.336761,EU EEA Common AQI,73.8,5.420952,6.693112,7200,3.9714286,100,100,67.2,3.4285712,Very Low,72.4,5.729732,100,1748822400,Very Low,4.073336,6.360585,Very Low,5.9743896,65.2,4.7714286,100,1748822400,4.285714
2025-06-02T00:01:17Z,0,30.143,78.1,64,69.4,1,3,101,83,0.0,255,32767,0.0,2127-15-31,0.0,0.0,27.46,0.0,0.0,0.0,0,4.81640625,6,44,05:34,20:30,2025-06-02 00:01:17.482411,Città della Scienza,78.2,6.6978936,7.91755,5.0916705,4.336761,EU EEA Common AQI,73.8,5.420952,6.693112,7200,3.9714286,100,100,67.2,3.4285712,Very Low,72.4,5.729732,100,1748822400,Very Low,4.073336,6.360585,Very Low,5.9743896,65.2,4.7714286,100,1748822400,4.285714
2025-06-02T00:01:28Z,0,30.143,78.1,64,69.4,1,3,110,83,0.0,255,32767,0.0,2127-15-31,0.0,0.0,27.46,0.0,0.0,0.0,0,4.81640625,6,44,05:34,20:30,2025-06-02 00:01:28.534419,Città della Scienza,78.2,6.6978936,7.91755,5.0916705,4.336761,EU EEA Common AQI,73.8,5.420952,6.693112,7200,3.9714286,100,100,67.2,3.4285712,Very Low,72.4,5.729732,100,1748822400,Very Low,4.073336,6.360585,Very Low,5.9743896,65.2,4.7714286,100,1748822400,4.285714
2025-06-02T00:01:39Z,0,30.144,78.0,64,69.5,2,2,129,83,0.0,255,32767,0.0,2127-15-31,0.0,0.0,27.46,0.0,0.0,0.0,0,4.81640625,6,44,05:34,20:30,2025-06-02 00:01:39.585414,Città della Scienza,78.2,6.6978936,7.91755,5.0916705,4.336761,EU EEA Common AQI,73.8,5.420952,6.693112,7200,3.9714286,100,100,67.2,3.4285712,Very Low,72.4,5.729732,100,1748822400,Very Low,4.073336,6.360585,Very Low,5.9743896,65.2,4.7714286,100,1748822400,4.285714
2025-06-02T00:01:50Z,0,30.144,78.0,64,69.5,2,2,129,83,0.0,255,32767,0.0,2127-15-31,0.0,0.0,27.46,0.0,0.0,0.0,0,4.81640625,6,44,05:34,20:30,2025-06-02 00:01:50.640415,Città della Scienza,78.2,6.6978936,7.91755,5.0916705,4.336761,EU EEA Common AQI,73.8,5.420952,6.693112,7200,3.9714286,100,100,67.2,3.4285712,Very Low,72.4,5.729732,100,1748822400,Very Low,4.073336,6.360585,Very Low,5.9743896,65.2,4.7714286,100,1748822400,4.285714
2025-06-02T00:02:01Z,0,30.144,78.0,64,69.5,2,2,129,83,0.0,255,32767,0.0,2127-15-31,0.0,0.0,27.46,0.0,0.0,0.0,0,4.81640625,6,44,05:34,20:30,2025-06-02 00:02:01.705434,Città della Scienza,78.2,6.6978936,7.91755,5.0916705,4.336761,EU EEA Common AQI,73.8,5.420952,6.693112,7200,3.9714286,100,100,67.2,3.4285712,Very Low,72.4,5.729732,100,1748822400,Very Low,4.073336,6.360585,Very Low,5.9743896,65.2,4.7714286,100,1748822400,4.285714
2025-06-02T00:02:13Z,0,30.144,78.0,64,69.5,2,2,129,83,0.0,255,32767,0.0,2127-15-31,0.0,0.0,27.46,0.0,0.0,0.0,0,4.81640625,6,44,05:34,20:30,2025-06-02 00:02:12.809422,Città della Scienza,78.2,6.6978936,7.91755,5.0916705,4.336761,EU EEA Common AQI,73.8,5.420952,6.693112,7200,3.9714286,100,100,67.2,3.4285712,Very Low,72.4,5.729732,100,1748822400,Very Low,4.073336,6.360585,Very Low,5.9743896,65.2,4.7714286,100,1748822400,4.285714
2025-06-02T00:02:24Z,0,30.144,78.0,64,69.5,0,2,129,83,0.0,255,32767,0.0,2127-15-31,0.0,0.0,27.46,0.0,0.0,0.0,0,4.81640625,6,44,05:34,20:30,2025-06-02 00:02:23.908410,Città della Scienza,78.2,6.6978936,7.91755,5.0916705,4.336761,EU EEA Common AQI,73.8,5.420952,6.693112,7200,3.9714286,100,100,67.2,3.4285712,Very Low,72.4,5.729732,100,1748822400,Very Low,4.073336,6.360585,Very Low,5.9743896,65.2,4.7714286,100,1748822400,4.285714
2025-06-02T00:02:35Z,0,30.144,78.1,64,69.5,0,2,129,83,0.0,255,32767,0.0,2127-15-31,0.0,0.0,27.46,0.0,0.0,0.0,0,4.81640625,6,44,05:34,20:30,2025-06-02 00:02:34.997414,Città della Scienza,78.2,6.6978936,7.91755,5.0916705,4.336761,EU EEA Common AQI,73.8,5.420952,6.693112,7200,3.9714286,100,100,67.2,3.4285712,Very Low,72.4,5.729732,100,1748822400,Very Low,4.073336,6.360585,Very Low,5.9743896,65.2,4.7714286,100,1748822400,4.285714
2025-06-02T00:02:46Z,0,30.144,78.1,64,69.5,1,2,129,83,0.0,255,32767,0.0,2127-15-31,0.0,0.0,27.46,0.0,0.0,0.0,0,4.81640625,6,44,05:34,20:30,2025-06-02 00:02:46.126409,Città della Scienza,78.2,6.6978936,7.91755,5.0916705,4.336761,EU EEA Common AQI,73.8,5.420952,6.693112,7200,3.9714286,100,100,67.2,3.4285712,Very Low,72.4,5.729732,100,1748822400,Very Low,4.073336,6.360585,Very Low,5.9743896,65.2,4.7714286,100,1748822400,4.285714
2025-06-02T00:02:57Z,0,30.144,78.1,64,69.5,2,2,153,83,0.0,255,32767,0.0,2127-15-31,0.0,0.0,27.46,0.0,0.0,0.0,0,4.81640625,6,44,05:34,20:30,2025-06-02 00:02:57.198417,Città della Scienza,78.2,6.6978936,7.91755,5.0916705,4.336761,EU EEA Common AQI,73.8,5.420952,6.693112,7200,3.9714286,100,100,67.2,3.4285712,Very Low,72.4,5.729732,100,1748822400,Very Low,4.073336,6.360585,Very Low,5.9743896,65.2,4.7714286,100,1748822400,4.285714
2025-06-02T00:03:08Z,0,30.144,78.1,64,69.5,1,2,153,83,0.0,255,32767,0.0,2127-15-31,0.0,0.0,27.46,0.0,0.0,0.0,0,4.81640625,6,44,05:34,20:30,2025-06-02 00:03:08.281407,Città della Scienza,78.2,6.6978936,7.91755,5.0916705,4.336761,EU EEA Common AQI,73.8,5.420952,6.693112,7200,3.9714286,100,100,67.2,3.4285712,Very Low,72.4,5.729732,100,1748822400,Very Low,4.073336,6.360585,Very Low,5.9743896,65.2,4.7714286,100,1748822400,4.285714
2025-06-02T00:03:19Z,0,30.144,78.1,64,69.5,1,2,153,83,0.0,255,32767,0.0,2127-15-31,0.0,0.0,27.46,0.0,0.0,0.0,0,4.81640625,6,44,05:34,20:30,2025-06-02 00:03:19.385408,Città della Scienza,78.2,6.6978936,7.91755,5.0916705,4.336761,EU EEA Common AQI,73.8,5.420952,6.693112,7200,3.9714286,100,100,67.2,3.4285712,Very Low,72.4,5.729732,100,1748822400,Very Low,4.073336,6.360585,Very Low,5.9743896,65.2,4.7714286,100,1748822400,4.285714
2025-06-02T00:03:30Z,0,30.144,78.1,64,69.5,1,2,153,83,0.0,255,32767,0.0,2127-15-31,0.0,0.0,27.46,0.0,0.0,0.0,0,4.81640625,6,44,05:34,20:30,2025-06-02 00:03:30.459418,Città della Scienza,78.2,6.6978936,7.91755,5.0916705,4.336761,EU EEA Common AQI,73.8,5.420952,6.693112,7200,3.9714286,100,100,67.2,3.4285712,Very Low,72.4,5.729732,100,1748822400,Very Low,4.073336,6.360585,Very Low,5.9743896,65.2,4.7714286,100,1748822400,4.285714
2025-06-02T00:03:41Z,0,30.141,78.1,64,69.5,1,2,153,83,0.0,255,32767,0.0,2127-15-31,0.0,0.0,27.46,0.0,0.0,0.0,0,4.81640625,6,44,05:34,20:30,2025-06-02 00:03:41.556415,Città della Scienza,78.2,6.6978936,7.91755,5.0916705,4.336761,EU EEA Common AQI,73.8,5.420952,6.693112,7200,3.9714286,100,100,67.2,3.4285712,Very Low,72.4,5.729732,100,1748822400,Very Low,4.073336,6.360585,Very Low,5.9743896,65.2,4.7714286,100,1748822400,4.285714
2025-06-02T00:03:52Z,0,30.141,78.1,64,69.5,2,2,153,83,0.0,255,32767,0.0,2127-15-31,0.0,0.0,27.46,0.0,0.0,0.0,0,4.81640625,6,44,05:34,20:30,2025-06-02 00:03:52.665413,Città della Scienza,78.2,6.6978936,7.91755,5.0916705,4.336761,EU EEA Common AQI,73.8,5.420952,6.693112,7200,3.9714286,100,100,67.2,3.4285712,Very Low,72.4,5.729732,100,1748822400,Very Low,4.073336,6.360585,Very Low,5.9743896,65.2,4.7714286,100,1748822400,4.285714
2025-06-02T00:04:03Z,0,30.141,78.1,64,69.5,2,2,153,83,0.0,255,32767,0.0,2127-15-31,0.0,0.0,27.46,0.0,0.0,0.0,0,4.81640625,6,44,05:34,20:30,2025-06-02 00:04:03.794381,Città della Scienza,78.2,6.6978936,7.91755,5.0916705,4.336761,EU EEA Common AQI,73.8,5.420952,6.693112,7200,3.9714286,100,100,67.2,3.4285712,Very Low,72.4,5.729732,100,1748822400,Very Low,4.073336,6.360585,Very Low,5.9743896,65.2,4.7714286,100,1748822400,4.285714
2025-06-02T00:04:15Z,0,30.141,78.1,64,69.5,3,2,103,83,0.0,255,32767,0.0,2127-15-31,0.0,0.0,27.46,0.0,0.0,0.0,0,4.81640625,6,44,05:34,20:30,2025-06-02 00:04:14.941406,Città della Scienza,78.2,6.6978936,7.91755,5.0916705,4.336761,EU EEA Common AQI,73.8,5.420952,6.693112,7200,3.9714286,100,100,67.2,3.4285712,Very Low,72.4,5.729732,100,1748822400,Very Low,4.073336,6.360585,Very Low,5.9743896,65.2,4.7714286,100,1748822400,4.285714
2025-06-02T00:04:26Z,0,30.141,78.1,64,69.5,4,2,96,83,0.0,255,32767,0.0,2127-15-31,0.0,0.0,27.46,0.0,0.0,0.0,0,4.81640625,6,44,05:34,20:30,2025-06-02 00:04:26.028415,Città della Scienza,78.2,6.6978936,7.91755,5.0916705,4.336761,EU EEA Common AQI,73.8,5.420952,6.693112,7200,3.9714286,100,100,67.2,3.4285712,Very Low,72.4,5.729732,100,1748822400,Very Low,4.073336,6.360585,Very Low,5.9743896,65.2,4.7714286,100,1748822400,4.285714
2025-06-02T00:04:37Z,0,30.142,78.1,64,69.5,4,2,91,83,0.0,255,32767,0.0,2127-15-31,0.0,0.0,27.46,0.0,0.0,0.0,0,4.81640625,6,44,05:34,20:30,2025-06-02 00:04:37.122418,Città della Scienza,78.2,6.6978936,7.91755,5.0916705,4.336761,EU EEA Common AQI,73.8,5.420952,6.693112,7200,3.9714286,100,100,67.2,3.4285712,Very Low,72.4,5.729732,100,1748822400,Very Low,4.073336,6.360585,Very Low,5.9743896,65.2,4.7714286,100,1748822400,4.285714
2025-06-02T00:04:48Z,0,30.142,78.1,64,69.5,4,2,97,83,0.0,255,32767,0.0,2127-15-31,0.0,0.0,27.46,0.0,0.0,0.0,0,4.81640625,6,44,05:34,20:30,2025-06-02 00:04:48.168416,Città della Scienza,78.2,6.6978936,7.91755,5.0916705,4.336761,EU EEA Common AQI,73.8,5.420952,6.693112,7200,3.9714286,100,100,67.2,3.4285712,Very Low,72.4,5.729732,100,1748822400,Very Low,4.073336,6.360585,Very Low,5.9743896,65.2,4.7714286,100,1748822400,4.285714
2025-06-02T00:04:59Z,0,30.142,78.1,64,69.5,3,2,92,83,0.0,255,32767,0.0,2127-15-31,0.0,0.0,27.46,0.0,0.0,0.0,0,4.81640625,6,44,05:34,20:30,2025-06-02 00:04:59.215410,Città della Scienza,78.2,6.6978936,7.91755,5.0916705,4.336761,EU EEA Common AQI,73.8,5.420952,6.693112,7200,3.9714286,100,100,67.2,3.4285712,Very Low,72.4,5.729732,100,1748822400,Very Low,4.073336,6.360585,Very Low,5.9743896,65.2,4.7714286,100,1748822400,4.285714
2025-06-02T00:05:10Z,0,30.142,78.1,64,69.5,3,2,90,83,0.0,255,32767,0.0,2127-15-31,0.0,0.0,27.46,0.0,0.0,0.0,0,4.81640625,6,44,05:34,20:30,2025-06-02 00:05:10.322417,Città della Scienza,78.2,6.6978936,7.91755,5.0916705,4.336761,EU EEA Common AQI,73.8,5.420952,6.693112,7200,3.9714286,100,100,67.2,3.4285712,Very Low,72.4,5.729732,100,1748822400,Very Low,4.073336,6.360585,Very Low,5.9743896,65.2,4.7714286,100,1748822400,4.285714
2025-06-02T00:05:21Z,0,30.142,78.1,64,69.5,2,2,90,83,0.0,255,32767,0.0,2127-15-31,0.0,0.0,27.46,0.0,0.0,0.0,0,4.81640625,6,44,05:34,20:30,2025-06-02 00:05:21.441376,Città della Scienza,78.2,6.6978936,7.91755,5.0916705,4.336761,EU EEA Common AQI,73.8,5.420952,6.693112,7200,3.9714286,100,100,67.2,3.4285712,Very Low,72.4,5.729732,100,1748822400,Very Low,4.073336,6.360585,Very Low,5.9743896,65.2,4.7714286,100,1748822400,4.285714
2025-06-02T00:05:32Z,0,30.142,78.1,64,69.5,3,2,90,83,0.0,255,32767,0.0,2127-15-31,0.0,0.0,27.46,0.0,0.0,0.0,0,4.81640625,6,44,05:34,20:30,2025-06-02 00:05:32.496410,Città della Scienza,78.2,6.6978936,7.91755,5.0916705,4.336761,EU EEA Common AQI,73.8,5.420952,6.693112,7200,3.9714286,100,100,67.2,3.4285712,Very Low,72.4,5.729732,100,1748822400,Very Low,4.073336,6.360585,Very Low,5.9743896,65.2,4.7714286,100,1748822400,4.285714
2025-06-02T00:05:43Z,0,30.142,78.1,64,69.5,3,2,90,83,0.0,255,32767,0.0,2127-15-31,0.0,0.0,27.46,0.0,0.0,0.0,0,4.81640625,6,44,05:34,20:30,2025-06-02 00:05:43.625421,Città della Scienza,78.2,6.6978936,7.91755,5.0916705,4.336761,EU EEA Common AQI,73.8,5.420952,6.693112,7200,3.9714286,100,100,67.2,3.4285712,Very Low,72.4,5.729732,100,1748822400,Very Low,4.073336,6.360585,Very Low,5.9743896,65.2,4.7714286,100,1748822400,4.285714
