Datetime,BarTrend,Barometer,TempIn,HumIn,TempOut,WindSpeed,WindSpeed10Min,WindDir,HumOut,RainRate,UV,SolarRad,RainStorm,StormStartDate,RainDay,RainMonth,RainYear,ETDay,ETMonth,ETYear,BatteryStatus,BatteryVolts,ForecastIcon,ForecastRuleNo,SunRise,SunSet,DatetimeWS,place
2025-09-25T00:00:05Z,20,29.955,83.5,43,69.6,3,2,92,80,0.0,255,32767,1.29,2027-9-19,0.0,2.33,33.79,0.0,0.0,0.0,0,0.978515625,6,45,06:59,19:00,2025-09-25 00:00:05.085828,Marina di Stabia
2025-09-25T00:00:15Z,20,29.955,83.5,43,69.6,3,2,92,80,0.0,255,32767,1.29,2027-9-19,0.0,2.33,33.79,0.0,0.0,0.0,0,0.978515625,6,45,06:59,19:00,2025-09-25 00:00:15.640854,Marina di Stabia
2025-09-25T00:00:26Z,20,29.955,83.5,43,69.7,2,2,92,81,0.0,255,32767,1.29,2027-9-19,0.0,2.33,33.79,0.0,0.0,0.0,0,0.978515625,6,45,06:59,19:00,2025-09-25 00:00:26.227834,Marina di Stabia
2025-09-25T00:00:36Z,20,29.956,83.5,43,69.6,2,2,92,81,0.0,255,32767,1.29,2027-9-19,0.0,2.33,33.79,0.0,0.0,0.0,0,0.99609375,6,45,06:59,19:00,2025-09-25 00:00:36.782828,Marina di Stabia
2025-09-25T00:00:47Z,20,29.956,83.5,43,69.6,3,2,92,81,0.0,255,32767,1.29,2027-9-19,0.0,2.33,33.79,0.0,0.0,0.0,0,0.99609375,6,45,06:59,19:00,2025-09-25 00:00:47.328831,Marina di Stabia
2025-09-25T00:00:58Z,20,29.956,83.5,43,69.6,3,2,92,81,0.0,255,32767,1.29,2027-9-19,0.0,2.33,33.79,0.0,0.0,0.0,0,0.99609375,6,45,06:59,19:00,2025-09-25 00:00:57.884833,Marina di Stabia
2025-09-25T00:01:08Z,20,29.956,83.5,43,69.6,4,2,119,81,0.0,255,32767,1.29,2027-9-19,0.0,2.33,33.79,0.0,0.0,0.0,0,0.99609375,6,45,06:59,19:00,2025-09-25 00:01:08.439826,Marina di Stabia
2025-09-25T00:01:19Z,20,29.956,83.5,43,69.6,4,2,109,81,0.0,255,32767,1.29,2027-9-19,0.0,2.33,33.79,0.0,0.0,0.0,0,0.99609375,6,45,06:59,19:00,2025-09-25 00:01:18.992850,Marina di Stabia
2025-09-25T00:01:29Z,20,29.956,83.5,43,69.6,4,2,105,81,0.0,255,32767,1.29,2027-9-19,0.0,2.33,33.79,0.0,0.0,0.0,0,0.99609375,6,45,06:59,19:00,2025-09-25 00:01:29.546848,Marina di Stabia
2025-09-25T00:01:40Z,20,29.956,83.5,43,69.6,3,2,115,81,0.0,255,32767,1.29,2027-9-19,0.0,2.33,33.79,0.0,0.0,0.0,0,1.734375,6,45,06:59,19:00,2025-09-25 00:01:40.080832,Marina di Stabia
2025-09-25T00:01:50Z,20,29.956,83.5,43,69.6,2,2,121,81,0.0,255,32767,1.29,2027-9-19,0.0,2.33,33.79,0.0,0.0,0.0,0,1.734375,6,45,06:59,19:00,2025-09-25 00:01:50.633843,Marina di Stabia
2025-09-25T00:02:01Z,20,29.956,83.5,43,69.6,2,2,121,81,0.0,255,32767,1.29,2027-9-19,0.0,2.33,33.79,0.0,0.0,0.0,0,1.734375,6,45,06:59,19:00,2025-09-25 00:02:01.184832,Marina di Stabia
2025-09-25T00:02:11Z,20,29.956,83.5,43,69.6,2,2,121,81,0.0,255,32767,1.29,2027-9-19,0.0,2.33,33.79,0.0,0.0,0.0,0,1.734375,6,45,06:59,19:00,2025-09-25 00:02:11.739837,Marina di Stabia
2025-09-25T00:02:22Z,20,29.956,83.5,43,69.6,1,2,123,81,0.0,255,32767,1.29,2027-9-19,0.0,2.33,33.79,0.0,0.0,0.0,0,1.734375,6,45,06:59,19:00,2025-09-25 00:02:22.294831,Marina di Stabia
2025-09-25T00:02:33Z,20,29.956,83.5,43,69.6,1,2,134,81,0.0,255,32767,1.29,2027-9-19,0.0,2.33,33.79,0.0,0.0,0.0,0,1.734375,6,45,06:59,19:00,2025-09-25 00:02:32.849835,Marina di Stabia
2025-09-25T00:02:43Z,20,29.959,83.5,43,69.6,1,2,108,81,0.0,255,32767,1.29,2027-9-19,0.0,2.33,33.79,0.0,0.0,0.0,0,1.189453125,6,45,06:59,19:00,2025-09-25 00:02:43.403847,Marina di Stabia
2025-09-25T00:02:54Z,20,29.959,83.5,43,69.6,1,2,108,81,0.0,255,32767,1.29,2027-9-19,0.0,2.33,33.79,0.0,0.0,0.0,0,1.189453125,6,45,06:59,19:00,2025-09-25 00:02:53.960829,Marina di Stabia
2025-09-25T00:03:04Z,20,29.959,83.5,43,69.6,2,2,121,81,0.0,255,32767,1.29,2027-9-19,0.0,2.33,33.79,0.0,0.0,0.0,0,1.189453125,6,45,06:59,19:00,2025-09-25 00:03:04.515858,Marina di Stabia
2025-09-25T00:03:15Z,20,29.959,83.5,43,69.6,1,2,120,81,0.0,255,32767,1.29,2027-9-19,0.0,2.33,33.79,0.0,0.0,0.0,0,1.189453125,6,45,06:59,19:00,2025-09-25 00:03:15.070864,Marina di Stabia
2025-09-25T00:03:25Z,20,29.959,83.5,43,69.6,2,2,119,81,0.0,255,32767,1.29,2027-9-19,0.0,2.33,33.79,0.0,0.0,0.0,0,1.189453125,6,45,06:59,19:00,2025-09-25 00:03:25.625839,Marina di Stabia
2025-09-25T00:03:36Z,20,29.957,83.5,43,69.6,3,2,119,81,0.0,255,32767,1.29,2027-9-19,0.0,2.33,33.79,0.0,0.0,0.0,0,0.97265625,6,45,06:59,19:00,2025-09-25 00:03:36.180827,Marina di Stabia
2025-09-25T00:03:46Z,20,29.957,83.5,43,69.6,3,2,117,81,0.0,255,32767,1.29,2027-9-19,0.0,2.33,33.79,0.0,0.0,0.0,0,0.97265625,6,45,06:59,19:00,2025-09-25 00:03:46.734843,Marina di Stabia
2025-09-25T00:03:57Z,20,29.957,83.5,43,69.6,3,2,117,81,0.0,255,32767,1.29,2027-9-19,0.0,2.33,33.79,0.0,0.0,0.0,0,0.97265625,6,45,06:59,19:00,2025-09-25 00:03:57.323834,Marina di Stabia
2025-09-25T00:04:08Z,20,29.957,83.5,43,69.6,3,2,113,81,0.0,255,32767,1.29,2027-9-19,0.0,2.33,33.79,0.0,0.0,0.0,0,0.97265625,6,45,06:59,19:00,2025-09-25 00:04:07.879832,Marina di Stabia
2025-09-25T00:04:18Z,20,29.957,83.5,43,69.6,2,2,117,81,0.0,255,32767,1.29,2027-9-19,0.0,2.33,33.79,0.0,0.0,0.0,0,0.97265625,6,45,06:59,19:00,2025-09-25 00:04:18.434828,Marina di Stabia
2025-09-25T00:04:29Z,20,29.957,83.5,43,69.6,2,2,117,81,0.0,255,32767,1.29,2027-9-19,0.0,2.33,33.79,0.0,0.0,0.0,0,0.97265625,6,45,06:59,19:00,2025-09-25 00:04:28.990827,Marina di Stabia
2025-09-25T00:04:39Z,20,29.958,83.5,43,69.5,2,2,117,81,0.0,255,32767,1.29,2027-9-19,0.0,2.33,33.79,0.0,0.0,0.0,0,2.466796875,6,45,06:59,19:00,2025-09-25 00:04:39.558826,Marina di Stabia
2025-09-25T00:04:50Z,20,29.958,83.5,43,69.5,1,2,117,81,0.0,255,32767,1.29,2027-9-19,0.0,2.33,33.79,0.0,0.0,0.0,0,2.466796875,6,45,06:59,19:00,2025-09-25 00:04:50.114830,Marina di Stabia
2025-09-25T00:05:00Z,20,29.958,83.5,43,69.5,2,2,117,81,0.0,255,32767,1.29,2027-9-19,0.0,2.33,33.79,0.0,0.0,0.0,0,2.466796875,6,45,06:59,19:00,2025-09-25 00:05:00.661836,Marina di Stabia
2025-09-25T00:05:11Z,20,29.958,83.5,43,69.5,2,2,107,81,0.0,255,32767,1.29,2027-9-19,0.0,2.33,33.79,0.0,0.0,0.0,0,2.466796875,6,45,06:59,19:00,2025-09-25 00:05:11.216823,Marina di Stabia
2025-09-25T00:05:21Z,20,29.958,83.5,43,69.5,2,2,107,81,0.0,255,32767,1.29,2027-9-19,0.0,2.33,33.79,0.0,0.0,0.0,0,2.466796875,6,45,06:59,19:00,2025-09-25 00:05:21.763790,Marina di Stabia
2025-09-25T00:05:32Z,20,29.958,83.5,43,69.5,3,2,107,81,0.0,255,32767,1.29,2027-9-19,0.0,2.33,33.79,0.0,0.0,0.0,0,2.466796875,6,45,06:59,19:00,2025-09-25 00:05:32.318828,Marina di Stabia
2025-09-25T00:05:43Z,20,29.958,83.5,43,69.5,3,2,107,81,0.0,255,32767,1.29,2027-9-19,0.0,2.33,33.79,0.0,0.0,0.0,0,0.978515625,6,45,06:59,19:00,2025-09-25 00:05:42.873847,Marina di Stabia
2025-09-25T00:05:53Z,20,29.958,83.5,43,69.4,3,2,111,81,0.0,255,32767,1.29,2027-9-19,0.0,2.33,33.79,0.0,0.0,0.0,0,0.978515625,6,45,06:59,19:00,2025-09-25 00:05:53.428825,Marina di Stabia
2025-09-25T00:06:04Z,20,29.958,83.5,43,69.4,3,2,111,81,0.0,255,32767,1.29,2027-9-19,0.0,2.33,33.79,0.0,0.0,0.0,0,0.978515625,6,45,06:59,19:00,2025-09-25 00:06:03.983826,Marina di Stabia
2025-09-25T00:06:14Z,20,29.958,83.5,43,69.4,2,2,111,81,0.0,255,32767,1.29,2027-9-19,0.0,2.33,33.79,0.0,0.0,0.0,0,0.978515625,6,45,06:59,19:00,2025-09-25 00:06:14.540836,Marina di Stabia
2025-09-25T00:06:25Z,20,29.958,83.5,43,69.4,3,2,96,81,0.0,255,32767,1.29,2027-9-19,0.0,2.33,33.79,0.0,0.0,0.0,0,0.978515625,6,45,06:59,19:00,2025-09-25 00:06:25.128833,Marina di Stabia
2025-09-25T00:06:35Z,20,29.959,83.5,43,69.4,3,2,96,81,0.0,255,32767,1.29,2027-9-19,0.0,2.33,33.79,0.0,0.0,0.0,0,0.97265625,6,45,06:59,19:00,2025-09-25 00:06:35.683796,Marina di Stabia
2025-09-25T00:06:46Z,20,29.959,83.5,43,69.4,2,2,96,81,0.0,255,32767,1.29,2027-9-19,0.0,2.33,33.79,0.0,0.0,0.0,0,0.97265625,6,45,06:59,19:00,2025-09-25 00:06:46.238825,Marina di Stabia
2025-09-25T00:06:56Z,20,29.959,83.5,43,69.4,2,2,96,81,0.0,255,32767,1.29,2027-9-19,0.0,2.33,33.79,0.0,0.0,0.0,0,0.97265625,6,45,06:59,19:00,2025-09-25 00:06:56.795829,Marina di Stabia
2025-09-25T00:07:07Z,20,29.959,83.5,43,69.3,1,2,96,81,0.0,255,32767,1.29,2027-9-19,0.0,2.33,33.79,0.0,0.0,0.0,0,0.97265625,6,45,06:59,19:00,2025-09-25 00:07:07.350829,Marina di Stabia
