Datetime,BarTrend,Barometer,TempIn,HumIn,TempOut,WindSpeed,WindSpeed10Min,WindDir,HumOut,RainRate,UV,SolarRad,RainStorm,StormStartDate,RainDay,RainMonth,RainYear,ETDay,ETMonth,ETYear,BatteryStatus,BatteryVolts,ForecastIcon,ForecastRuleNo,SunRise,SunSet,DatetimeWS,place,hum,pm_10_3_hour,pm_10_24_hour,pm_2p5_1_hour,aqi_nowcast_val,heat_index,pm_2p5_nowcast,pm_2p5_24_hour,pm_1,aqi_val,temp,pm_2p5_3_hour,aqi_1_hour_val,pm_10_nowcast,pm_10_1_hour,dew_point,pm_10,pm_2p5,wet_bulb
2025-07-24T00:00:09Z,0,29.853,85.1,30,75.2,3,3,116,73,0.0,255,32767,0.0,2127-15-31,0.0,0.8,26.83,0.0,0.0,0.0,0,1.330078125,6,45,06:06,20:23,2025-07-24 00:00:09.459699,Marina di Stabia,33.5,1.6613507,2.234097,1.7236842,2.3008218,82.5,1.3804932,1.881072,0.7246377,1.2077295,84.2,1.388087,2.872807,1.6512753,2.0188994,52.5,1.057971,0.7246377,59.4
2025-07-24T00:00:20Z,0,29.853,85.1,30,75.2,3,3,136,73,0.0,255,32767,0.0,2127-15-31,0.0,0.8,26.83,0.0,0.0,0.0,0,1.330078125,6,45,06:06,20:23,2025-07-24 00:00:20.014700,Marina di Stabia,33.5,1.6613507,2.234097,1.7236842,2.3008218,82.5,1.3804932,1.881072,0.7246377,1.2077295,84.2,1.388087,2.872807,1.6512753,2.0188994,52.5,1.057971,0.7246377,59.4
2025-07-24T00:00:30Z,0,29.855,85.0,30,75.3,1,3,136,73,0.0,255,32767,0.0,2127-15-31,0.0,0.8,26.83,0.0,0.0,0.0,0,0.92578125,6,45,06:06,20:23,2025-07-24 00:00:30.600706,Marina di Stabia,33.5,1.6613507,2.234097,1.7236842,2.3008218,82.5,1.3804932,1.881072,0.7246377,1.2077295,84.2,1.388087,2.872807,1.6512753,2.0188994,52.5,1.057971,0.7246377,59.4
2025-07-24T00:00:41Z,0,29.855,85.0,30,75.3,2,3,117,73,0.0,255,32767,0.0,2127-15-31,0.0,0.8,26.83,0.0,0.0,0.0,0,0.92578125,6,45,06:06,20:23,2025-07-24 00:00:41.155702,Marina di Stabia,33.5,1.6613507,2.234097,1.7236842,2.3008218,82.5,1.3804932,1.881072,0.7246377,1.2077295,84.2,1.388087,2.872807,1.6512753,2.0188994,52.5,1.057971,0.7246377,59.4
2025-07-24T00:00:51Z,0,29.855,85.0,30,75.3,4,3,95,73,0.0,255,32767,0.0,2127-15-31,0.0,0.8,26.83,0.0,0.0,0.0,0,0.92578125,6,45,06:06,20:23,2025-07-24 00:00:51.710687,Marina di Stabia,33.5,1.6613507,2.234097,1.7236842,2.3008218,82.5,1.3804932,1.881072,0.7246377,1.2077295,84.2,1.388087,2.872807,1.6512753,2.0188994,52.5,1.057971,0.7246377,59.4
2025-07-24T00:01:02Z,0,29.855,85.0,30,75.3,2,3,121,73,0.0,255,32767,0.0,2127-15-31,0.0,0.8,26.83,0.0,0.0,0.0,0,0.92578125,6,45,06:06,20:23,2025-07-24 00:01:02.266699,Marina di Stabia,33.5,1.6613507,2.234097,1.7236842,2.3008218,82.5,1.3804932,1.881072,0.7246377,1.2077295,84.2,1.388087,2.872807,1.6512753,2.0188994,52.5,1.057971,0.7246377,59.4
2025-07-24T00:01:13Z,0,29.855,85.0,30,75.3,4,3,123,73,0.0,255,32767,0.0,2127-15-31,0.0,0.8,26.83,0.0,0.0,0.0,0,0.92578125,6,45,06:06,20:23,2025-07-24 00:01:12.821692,Marina di Stabia,33.5,1.6613507,2.234097,1.7236842,2.3008218,82.5,1.3804932,1.881072,0.7246377,1.2077295,84.2,1.388087,2.872807,1.6512753,2.0188994,52.5,1.057971,0.7246377,59.4
2025-07-24T00:01:24Z,0,29.855,85.0,30,75.3,3,3,100,73,0.0,255,32767,0.0,2127-15-31,0.0,0.8,26.83,0.0,0.0,0.0,0,0.92578125,6,45,06:06,20:23,2025-07-24 00:01:23.930709,Marina di Stabia,33.5,1.6613507,2.234097,1.7236842,2.3008218,82.5,1.3804932,1.881072,0.7246377,1.2077295,84.2,1.388087,2.872807,1.6512753,2.0188994,52.5,1.057971,0.7246377,59.4
2025-07-24T00:01:34Z,0,29.857,85.0,30,75.3,2,3,113,73,0.0,255,32767,0.0,2127-15-31,0.0,0.8,26.83,0.0,0.0,0.0,0,1.76953125,6,45,06:06,20:23,2025-07-24 00:01:34.485687,Marina di Stabia,33.5,1.6613507,2.234097,1.7236842,2.3008218,82.5,1.3804932,1.881072,0.7246377,1.2077295,84.2,1.388087,2.872807,1.6512753,2.0188994,52.5,1.057971,0.7246377,59.4
2025-07-24T00:01:45Z,0,29.857,85.0,30,75.3,3,3,127,73,0.0,255,32767,0.0,2127-15-31,0.0,0.8,26.83,0.0,0.0,0.0,0,1.76953125,6,45,06:06,20:23,2025-07-24 00:01:45.040696,Marina di Stabia,33.5,1.6613507,2.234097,1.7236842,2.3008218,82.5,1.3804932,1.881072,0.7246377,1.2077295,84.2,1.388087,2.872807,1.6512753,2.0188994,52.5,1.057971,0.7246377,59.4
