Datetime,place,hum,pm_10_3_hour,pm_10_24_hour,pm_2p5_1_hour,aqi_nowcast_val,heat_index,pm_2p5_nowcast,pm_2p5_24_hour,pm_1,aqi_val,temp,pm_2p5_3_hour,aqi_1_hour_val,pm_10_nowcast,pm_10_1_hour,dew_point,pm_10,pm_2p5,wet_bulb
2025-07-23T00:00:04Z,Centro Direzionale,70.0,6.381597,16.256342,3.1964457,2.842236,83.9,3.5527952,14.107329,1.6231884,3.037681,80.4,3.8754704,2.5571563,5.8858232,5.4541306,69.7,5.478261,3.7971015,72.2
2025-07-23T00:00:15Z,Centro Direzionale,70.0,6.381597,16.256342,3.1964457,2.842236,83.9,3.5527952,14.107329,1.6231884,3.037681,80.4,3.8754704,2.5571563,5.8858232,5.4541306,69.7,5.478261,3.7971015,72.2
2025-07-23T00:00:25Z,Centro Direzionale,70.0,6.381597,16.256342,3.1964457,2.842236,83.9,3.5527952,14.107329,1.6231884,3.037681,80.4,3.8754704,2.5571563,5.8858232,5.4541306,69.7,5.478261,3.7971015,72.2
2025-07-23T00:00:35Z,Centro Direzionale,70.0,6.381597,16.256342,3.1964457,2.842236,83.9,3.5527952,14.107329,1.6231884,3.037681,80.4,3.8754704,2.5571563,5.8858232,5.4541306,69.7,5.478261,3.7971015,72.2
2025-07-23T00:00:46Z,Centro Direzionale,70.0,6.381597,16.256342,3.1964457,2.842236,83.9,3.5527952,14.107329,1.6231884,3.037681,80.4,3.8754704,2.5571563,5.8858232,5.4541306,69.7,5.478261,3.7971015,72.2
2025-07-23T00:00:56Z,Centro Direzionale,70.0,6.381597,16.256342,3.1964457,2.842236,83.9,3.5527952,14.107329,1.6231884,3.037681,80.4,3.8754704,2.5571563,5.8858232,5.4541306,69.7,5.478261,3.7971015,72.2
2025-07-23T00:01:06Z,Centro Direzionale,70.0,6.381597,16.256342,3.1964457,2.842236,83.9,3.5527952,14.107329,1.6231884,3.037681,80.4,3.8754704,2.5571563,5.8858232,5.4541306,69.7,5.478261,3.7971015,72.2
2025-07-23T00:01:16Z,Centro Direzionale,70.0,6.381597,16.256342,3.1964457,2.842236,83.9,3.5527952,14.107329,1.6231884,3.037681,80.4,3.8754704,2.5571563,5.8858232,5.4541306,69.7,5.478261,3.7971015,72.2
2025-07-23T00:01:27Z,Centro Direzionale,70.0,6.381597,16.256342,3.1964457,2.842236,83.9,3.5527952,14.107329,1.6231884,3.037681,80.4,3.8754704,2.5571563,5.8858232,5.4541306,69.7,5.478261,3.7971015,72.2
2025-07-23T00:01:37Z,Centro Direzionale,70.0,6.381597,16.256342,3.1964457,2.842236,83.9,3.5527952,14.107329,1.6231884,3.037681,80.4,3.8754704,2.5571563,5.8858232,5.4541306,69.7,5.478261,3.7971015,72.2
2025-07-23T00:01:47Z,Centro Direzionale,70.0,6.381597,16.256342,3.1964457,2.842236,83.9,3.5527952,14.107329,1.6231884,3.037681,80.4,3.8754704,2.5571563,5.8858232,5.4541306,69.7,5.478261,3.7971015,72.2
2025-07-23T00:01:57Z,Centro Direzionale,70.0,6.381597,16.256342,3.1964457,2.842236,83.9,3.5527952,14.107329,1.6231884,3.037681,80.4,3.8754704,2.5571563,5.8858232,5.4541306,69.7,5.478261,3.7971015,72.2
2025-07-23T00:02:07Z,Centro Direzionale,70.0,6.381597,16.256342,3.1964457,2.842236,83.9,3.5527952,14.107329,1.6231884,3.037681,80.4,3.8754704,2.5571563,5.8858232,5.4541306,69.7,5.478261,3.7971015,72.2
2025-07-23T00:02:18Z,Centro Direzionale,70.0,6.381597,16.256342,3.1964457,2.842236,83.9,3.5527952,14.107329,1.6231884,3.037681,80.4,3.8754704,2.5571563,5.8858232,5.4541306,69.7,5.478261,3.7971015,72.2
2025-07-23T00:02:28Z,Centro Direzionale,70.0,6.381597,16.256342,3.1964457,2.842236,83.9,3.5527952,14.107329,1.6231884,3.037681,80.4,3.8754704,2.5571563,5.8858232,5.4541306,69.7,5.478261,3.7971015,72.2
2025-07-23T00:02:38Z,Centro Direzionale,70.0,6.381597,16.256342,3.1964457,2.842236,83.9,3.5527952,14.107329,1.6231884,3.037681,80.4,3.8754704,2.5571563,5.8858232,5.4541306,69.7,5.478261,3.7971015,72.2
2025-07-23T00:02:48Z,Centro Direzionale,70.0,6.381597,16.256342,3.1964457,2.842236,83.9,3.5527952,14.107329,1.6231884,3.037681,80.4,3.8754704,2.5571563,5.8858232,5.4541306,69.7,5.478261,3.7971015,72.2
2025-07-23T00:02:58Z,Centro Direzionale,70.0,6.381597,16.256342,3.1964457,2.842236,83.9,3.5527952,14.107329,1.6231884,3.037681,80.4,3.8754704,2.5571563,5.8858232,5.4541306,69.7,5.478261,3.7971015,72.2
