Datetime,BarTrend,Barometer,TempIn,HumIn,TempOut,WindSpeed,WindSpeed10Min,WindDir,HumOut,RainRate,UV,SolarRad,RainStorm,StormStartDate,RainDay,RainMonth,RainYear,ETDay,ETMonth,ETYear,BatteryStatus,BatteryVolts,ForecastIcon,ForecastRuleNo,SunRise,SunSet,DatetimeWS,place
2025-09-15T00:00:06Z,0,30.112,81.2,63,71.6,3,1,355,84,0.0,255,32767,0.0,2127-15-31,0.0,0.7,31.4,0.0,0.0,0.0,0,4.76953125,6,44,06:44,19:12,2025-09-15 00:00:06.630510,Città della Scienza
2025-09-15T00:00:17Z,0,30.112,81.2,63,71.6,3,1,346,84,0.0,255,32767,0.0,2127-15-31,0.0,0.7,31.4,0.0,0.0,0.0,0,4.76953125,6,44,06:44,19:12,2025-09-15 00:00:17.184513,Città della Scienza
2025-09-15T00:00:27Z,0,30.112,81.2,63,71.6,2,1,345,84,0.0,255,32767,0.0,2127-15-31,0.0,0.7,31.4,0.0,0.0,0.0,0,4.76953125,6,44,06:44,19:12,2025-09-15 00:00:27.741507,Città della Scienza
2025-09-15T00:00:38Z,0,30.112,81.2,63,71.6,2,1,360,84,0.0,255,32767,0.0,2127-15-31,0.0,0.7,31.4,0.0,0.0,0.0,0,4.76953125,6,44,06:44,19:12,2025-09-15 00:00:38.296503,Città della Scienza
2025-09-15T00:00:49Z,0,30.112,81.2,63,71.6,2,1,360,84,0.0,255,32767,0.0,2127-15-31,0.0,0.7,31.4,0.0,0.0,0.0,0,4.76953125,6,44,06:44,19:12,2025-09-15 00:00:48.851505,Città della Scienza
2025-09-15T00:00:59Z,0,30.111,81.2,63,71.6,2,2,360,84,0.0,255,32767,0.0,2127-15-31,0.0,0.7,31.4,0.0,0.0,0.0,0,4.76953125,6,44,06:44,19:12,2025-09-15 00:00:59.407522,Città della Scienza
2025-09-15T00:01:10Z,0,30.111,81.2,63,71.7,2,2,355,84,0.0,255,32767,0.0,2127-15-31,0.0,0.7,31.4,0.0,0.0,0.0,0,4.76953125,6,44,06:44,19:12,2025-09-15 00:01:09.964507,Città della Scienza
2025-09-15T00:01:20Z,0,30.111,81.2,63,71.6,3,2,340,84,0.0,255,32767,0.0,2127-15-31,0.0,0.7,31.4,0.0,0.0,0.0,0,4.76953125,6,44,06:44,19:12,2025-09-15 00:01:20.521513,Città della Scienza
2025-09-15T00:01:31Z,0,30.111,81.2,63,71.6,3,2,342,84,0.0,255,32767,0.0,2127-15-31,0.0,0.7,31.4,0.0,0.0,0.0,0,4.76953125,6,44,06:44,19:12,2025-09-15 00:01:31.109504,Città della Scienza
2025-09-15T00:01:41Z,0,30.111,81.2,63,71.6,2,2,355,84,0.0,255,32767,0.0,2127-15-31,0.0,0.7,31.4,0.0,0.0,0.0,0,4.76953125,6,44,06:44,19:12,2025-09-15 00:01:41.665518,Città della Scienza
