Datetime,place,hum,pm_10_3_hour,pm_10_24_hour,pm_2p5_1_hour,aqi_nowcast_val,heat_index,pm_2p5_nowcast,pm_2p5_24_hour,pm_1,aqi_val,temp,pm_2p5_3_hour,aqi_1_hour_val,pm_10_nowcast,pm_10_1_hour,dew_point,pm_10,pm_2p5,wet_bulb
2025-07-22T00:04:05Z,Centro Direzionale,83.4,21.01608,19.6788,18.666346,15.136004,86.8,18.920008,17.55227,13.797101,13.704348,80.5,19.193214,14.933076,20.666737,20.246624,75.0,19.652174,17.130434,76.3
2025-07-22T00:04:15Z,Centro Direzionale,83.4,21.01608,19.6788,18.666346,15.136004,86.8,18.920008,17.55227,13.797101,13.704348,80.5,19.193214,14.933076,20.666737,20.246624,75.0,19.652174,17.130434,76.3
2025-07-22T00:04:26Z,Centro Direzionale,83.4,21.01608,19.6788,18.666346,15.136004,86.8,18.920008,17.55227,13.797101,13.704348,80.5,19.193214,14.933076,20.666737,20.246624,75.0,19.652174,17.130434,76.3
2025-07-22T00:04:36Z,Centro Direzionale,83.4,21.01608,19.6788,18.666346,15.136004,86.8,18.920008,17.55227,13.797101,13.704348,80.5,19.193214,14.933076,20.666737,20.246624,75.0,19.652174,17.130434,76.3
2025-07-22T00:04:46Z,Centro Direzionale,83.4,21.01608,19.6788,18.666346,15.136004,86.8,18.920008,17.55227,13.797101,13.704348,80.5,19.193214,14.933076,20.666737,20.246624,75.0,19.652174,17.130434,76.3
2025-07-22T00:04:56Z,Centro Direzionale,83.4,21.01608,19.6788,18.666346,15.136004,86.8,18.920008,17.55227,13.797101,13.704348,80.5,19.193214,14.933076,20.666737,20.246624,75.0,19.652174,17.130434,76.3
2025-07-22T00:05:06Z,Centro Direzionale,83.4,21.01608,19.6788,18.666346,15.136004,86.8,18.920008,17.55227,13.797101,13.704348,80.5,19.193214,14.933076,20.666737,20.246624,75.0,19.652174,17.130434,76.3
2025-07-22T00:05:17Z,Centro Direzionale,83.4,21.01608,19.6788,18.666346,15.136004,86.8,18.920008,17.55227,13.797101,13.704348,80.5,19.193214,14.933076,20.666737,20.246624,75.0,19.652174,17.130434,76.3
2025-07-22T00:05:27Z,Centro Direzionale,83.4,21.01608,19.6788,18.666346,15.136004,86.8,18.920008,17.55227,13.797101,13.704348,80.5,19.193214,14.933076,20.666737,20.246624,75.0,19.652174,17.130434,76.3
2025-07-22T00:05:37Z,Centro Direzionale,83.4,21.01608,19.6788,18.666346,15.136004,86.8,18.920008,17.55227,13.797101,13.704348,80.5,19.193214,14.933076,20.666737,20.246624,75.0,19.652174,17.130434,76.3
2025-07-22T00:05:47Z,Centro Direzionale,83.4,21.01608,19.6788,18.666346,15.136004,86.8,18.920008,17.55227,13.797101,13.704348,80.5,19.193214,14.933076,20.666737,20.246624,75.0,19.652174,17.130434,76.3
2025-07-22T00:05:57Z,Centro Direzionale,83.4,21.01608,19.6788,18.666346,15.136004,86.8,18.920008,17.55227,13.797101,13.704348,80.5,19.193214,14.933076,20.666737,20.246624,75.0,19.652174,17.130434,76.3
2025-07-22T00:06:08Z,Centro Direzionale,83.4,21.01608,19.6788,18.666346,15.136004,86.8,18.920008,17.55227,13.797101,13.704348,80.5,19.193214,14.933076,20.666737,20.246624,75.0,19.652174,17.130434,76.3
2025-07-22T00:06:18Z,Centro Direzionale,83.4,21.01608,19.6788,18.666346,15.136004,86.8,18.920008,17.55227,13.797101,13.704348,80.5,19.193214,14.933076,20.666737,20.246624,75.0,19.652174,17.130434,76.3
2025-07-22T00:06:28Z,Centro Direzionale,83.4,21.01608,19.6788,18.666346,15.136004,86.8,18.920008,17.55227,13.797101,13.704348,80.5,19.193214,14.933076,20.666737,20.246624,75.0,19.652174,17.130434,76.3
2025-07-22T00:06:38Z,Centro Direzionale,83.4,21.01608,19.6788,18.666346,15.136004,86.8,18.920008,17.55227,13.797101,13.704348,80.5,19.193214,14.933076,20.666737,20.246624,75.0,19.652174,17.130434,76.3
