Datetime,BarTrend,Barometer,TempIn,HumIn,TempOut,WindSpeed,WindSpeed10Min,WindDir,HumOut,RainRate,UV,SolarRad,RainStorm,StormStartDate,RainDay,RainMonth,RainYear,ETDay,ETMonth,ETYear,BatteryStatus,BatteryVolts,ForecastIcon,ForecastRuleNo,SunRise,SunSet,DatetimeWS,place,hum,pm_10_3_hour,pm_10_24_hour,pm_2p5_1_hour,aqi_nowcast_val,heat_index,pm_2p5_nowcast,pm_2p5_24_hour,pm_1,aqi_val,temp,pm_2p5_3_hour,aqi_1_hour_val,pm_10_nowcast,pm_10_1_hour,dew_point,pm_10,pm_2p5,wet_bulb
2025-12-05T00:00:06Z,0,29.668,63.1,59,54.5,3,2,355,82,0.09,255,32767,0.33,2066-1-19,0.27,1.71,47.52,0.0,0.0,0.0,0,4.74609375,3,192,07:12,16:36,2025-12-05 00:00:06.400360,Città della Scienza,89.2,25.304222,21.748587,24.457579,17.820984,54.8,22.276232,19.359898,4.5142856,3.7485714,54.7,21.56928,19.566061,26.362375,29.345419,51.6,5.5857143,4.6857142,52.8
2025-12-05T00:00:17Z,0,29.67,63.1,59,54.5,1,2,29,82,0.09,255,32767,0.33,2066-1-19,0.27,1.71,47.52,0.0,0.0,0.0,0,4.74609375,3,192,07:12,16:36,2025-12-05 00:00:16.955360,Città della Scienza,89.2,25.304222,21.748587,24.457579,17.820984,54.8,22.276232,19.359898,4.5142856,3.7485714,54.7,21.56928,19.566061,26.362375,29.345419,51.6,5.5857143,4.6857142,52.8
2025-12-05T00:00:27Z,0,29.67,63.1,59,54.5,1,2,355,82,0.09,255,32767,0.33,2066-1-19,0.27,1.71,47.52,0.0,0.0,0.0,0,4.74609375,3,192,07:12,16:36,2025-12-05 00:00:27.510359,Città della Scienza,89.2,25.304222,21.748587,24.457579,17.820984,54.8,22.276232,19.359898,4.5142856,3.7485714,54.7,21.56928,19.566061,26.362375,29.345419,51.6,5.5857143,4.6857142,52.8
2025-12-05T00:00:38Z,0,29.67,63.1,59,54.5,0,2,11,82,0.09,255,32767,0.33,2066-1-19,0.27,1.71,47.52,0.0,0.0,0.0,0,4.74609375,3,192,07:12,16:36,2025-12-05 00:00:38.065329,Città della Scienza,89.2,25.304222,21.748587,24.457579,17.820984,54.8,22.276232,19.359898,4.5142856,3.7485714,54.7,21.56928,19.566061,26.362375,29.345419,51.6,5.5857143,4.6857142,52.8
2025-12-05T00:00:48Z,0,29.67,63.1,59,54.5,1,2,360,82,0.09,255,32767,0.33,2066-1-19,0.27,1.71,47.52,0.0,0.0,0.0,0,4.74609375,3,192,07:12,16:36,2025-12-05 00:00:48.623360,Città della Scienza,89.2,25.304222,21.748587,24.457579,17.820984,54.8,22.276232,19.359898,4.5142856,3.7485714,54.7,21.56928,19.566061,26.362375,29.345419,51.6,5.5857143,4.6857142,52.8
2025-12-05T00:00:59Z,0,29.67,63.1,59,54.5,1,2,327,82,0.09,255,32767,0.33,2066-1-19,0.27,1.71,47.52,0.0,0.0,0.0,0,4.74609375,3,192,07:12,16:36,2025-12-05 00:00:59.178364,Città della Scienza,89.2,25.304222,21.748587,24.457579,17.820984,54.8,22.276232,19.359898,4.5142856,3.7485714,54.7,21.56928,19.566061,26.362375,29.345419,51.6,5.5857143,4.6857142,52.8
2025-12-05T00:01:09Z,0,29.67,63.1,59,54.5,2,2,5,82,0.09,255,32767,0.33,2066-1-19,0.27,1.71,47.52,0.0,0.0,0.0,0,4.7578125,3,192,07:12,16:36,2025-12-05 00:01:09.733359,Città della Scienza,89.2,25.304222,21.748587,24.457579,17.820984,54.8,22.276232,19.359898,4.5142856,3.7485714,54.7,21.56928,19.566061,26.362375,29.345419,51.6,5.5857143,4.6857142,52.8
2025-12-05T00:01:20Z,0,29.67,63.1,59,54.5,3,2,5,82,0.09,255,32767,0.33,2066-1-19,0.27,1.71,47.52,0.0,0.0,0.0,0,4.7578125,3,192,07:12,16:36,2025-12-05 00:01:20.288352,Città della Scienza,89.2,25.304222,21.748587,24.457579,17.820984,54.8,22.276232,19.359898,4.5142856,3.7485714,54.7,21.56928,19.566061,26.362375,29.345419,51.6,5.5857143,4.6857142,52.8
2025-12-05T00:01:31Z,0,29.67,63.1,59,54.4,4,2,355,82,0.09,255,32767,0.33,2066-1-19,0.27,1.71,47.52,0.0,0.0,0.0,0,4.7578125,3,192,07:12,16:36,2025-12-05 00:01:30.843369,Città della Scienza,89.2,25.304222,21.748587,24.457579,17.820984,54.8,22.276232,19.359898,4.5142856,3.7485714,54.7,21.56928,19.566061,26.362375,29.345419,51.6,5.5857143,4.6857142,52.8
2025-12-05T00:01:41Z,0,29.67,63.1,59,54.4,3,2,342,82,0.09,255,32767,0.33,2066-1-19,0.27,1.71,47.52,0.0,0.0,0.0,0,4.7578125,3,192,07:12,16:36,2025-12-05 00:01:41.399350,Città della Scienza,89.2,25.304222,21.748587,24.457579,17.820984,54.8,22.276232,19.359898,4.5142856,3.7485714,54.7,21.56928,19.566061,26.362375,29.345419,51.6,5.5857143,4.6857142,52.8
2025-12-05T00:01:52Z,0,29.67,63.1,59,54.4,4,2,360,83,0.09,255,32767,0.33,2066-1-19,0.27,1.71,47.52,0.0,0.0,0.0,0,4.7578125,3,192,07:12,16:36,2025-12-05 00:01:51.955351,Città della Scienza,89.2,25.304222,21.748587,24.457579,17.820984,54.8,22.276232,19.359898,4.5142856,3.7485714,54.7,21.56928,19.566061,26.362375,29.345419,51.6,5.5857143,4.6857142,52.8
2025-12-05T00:02:02Z,0,29.67,63.1,59,54.4,7,2,9,83,0.09,255,32767,0.33,2066-1-19,0.27,1.71,47.52,0.0,0.0,0.0,0,4.7578125,3,192,07:12,16:36,2025-12-05 00:02:02.510360,Città della Scienza,89.2,25.304222,21.748587,24.457579,17.820984,54.8,22.276232,19.359898,4.5142856,3.7485714,54.7,21.56928,19.566061,26.362375,29.345419,51.6,5.5857143,4.6857142,52.8
2025-12-05T00:02:13Z,0,29.67,63.1,59,54.4,6,2,355,83,0.09,255,32767,0.33,2066-1-19,0.27,1.71,47.52,0.0,0.0,0.0,0,4.7578125,3,192,07:12,16:36,2025-12-05 00:02:13.065356,Città della Scienza,89.2,25.304222,21.748587,24.457579,17.820984,54.8,22.276232,19.359898,4.5142856,3.7485714,54.7,21.56928,19.566061,26.362375,29.345419,51.6,5.5857143,4.6857142,52.8
2025-12-05T00:02:23Z,0,29.67,63.1,59,54.4,3,2,337,83,0.09,255,32767,0.33,2066-1-19,0.27,1.71,47.52,0.0,0.0,0.0,0,4.7578125,3,192,07:12,16:36,2025-12-05 00:02:23.622353,Città della Scienza,89.2,25.304222,21.748587,24.457579,17.820984,54.8,22.276232,19.359898,4.5142856,3.7485714,54.7,21.56928,19.566061,26.362375,29.345419,51.6,5.5857143,4.6857142,52.8
2025-12-05T00:02:34Z,0,29.67,63.1,59,54.4,3,2,336,83,0.09,255,32767,0.33,2066-1-19,0.27,1.71,47.52,0.0,0.0,0.0,0,4.7578125,3,192,07:12,16:36,2025-12-05 00:02:34.177354,Città della Scienza,89.2,25.304222,21.748587,24.457579,17.820984,54.8,22.276232,19.359898,4.5142856,3.7485714,54.7,21.56928,19.566061,26.362375,29.345419,51.6,5.5857143,4.6857142,52.8
2025-12-05T00:02:44Z,0,29.67,63.1,59,54.4,4,2,29,83,0.09,255,32767,0.33,2066-1-19,0.27,1.71,47.52,0.0,0.0,0.0,0,4.7578125,3,192,07:12,16:36,2025-12-05 00:02:44.726359,Città della Scienza,89.2,25.304222,21.748587,24.457579,17.820984,54.8,22.276232,19.359898,4.5142856,3.7485714,54.7,21.56928,19.566061,26.362375,29.345419,51.6,5.5857143,4.6857142,52.8
2025-12-05T00:02:55Z,0,29.67,63.1,59,54.4,5,2,348,83,0.09,255,32767,0.33,2066-1-19,0.27,1.71,47.52,0.0,0.0,0.0,0,4.7578125,3,192,07:12,16:36,2025-12-05 00:02:55.280358,Città della Scienza,89.2,25.304222,21.748587,24.457579,17.820984,54.8,22.276232,19.359898,4.5142856,3.7485714,54.7,21.56928,19.566061,26.362375,29.345419,51.6,5.5857143,4.6857142,52.8
2025-12-05T00:03:06Z,0,29.67,63.1,59,54.4,6,2,5,83,0.09,255,32767,0.33,2066-1-19,0.27,1.71,47.52,0.0,0.0,0.0,0,4.7578125,3,192,07:12,16:36,2025-12-05 00:03:05.839355,Città della Scienza,89.2,25.304222,21.748587,24.457579,17.820984,54.8,22.276232,19.359898,4.5142856,3.7485714,54.7,21.56928,19.566061,26.362375,29.345419,51.6,5.5857143,4.6857142,52.8
2025-12-05T00:03:16Z,0,29.669,63.0,59,54.4,5,2,324,83,0.09,255,32767,0.33,2066-1-19,0.27,1.71,47.52,0.0,0.0,0.0,0,4.7578125,3,192,07:12,16:36,2025-12-05 00:03:16.394366,Città della Scienza,89.2,25.304222,21.748587,24.457579,17.820984,54.8,22.276232,19.359898,4.5142856,3.7485714,54.7,21.56928,19.566061,26.362375,29.345419,51.6,5.5857143,4.6857142,52.8
2025-12-05T00:03:27Z,0,29.669,63.0,59,54.4,6,2,355,83,0.09,255,32767,0.33,2066-1-19,0.27,1.71,47.52,0.0,0.0,0.0,0,4.7578125,3,192,07:12,16:36,2025-12-05 00:03:26.950362,Città della Scienza,89.2,25.304222,21.748587,24.457579,17.820984,54.8,22.276232,19.359898,4.5142856,3.7485714,54.7,21.56928,19.566061,26.362375,29.345419,51.6,5.5857143,4.6857142,52.8
2025-12-05T00:03:37Z,0,29.669,63.0,59,54.3,4,2,351,83,0.09,255,32767,0.33,2066-1-19,0.27,1.71,47.52,0.0,0.0,0.0,0,4.7578125,3,192,07:12,16:36,2025-12-05 00:03:37.506357,Città della Scienza,90.0,23.705458,21.376938,14.740803,15.70546,54.6,19.631824,19.051052,7.5072465,7.049275,54.5,20.036728,11.792642,23.09709,17.169992,51.6,10.376812,8.811594,52.8
2025-12-05T00:03:48Z,0,29.669,63.0,59,54.3,4,2,355,83,0.09,255,32767,0.33,2066-1-19,0.27,1.71,47.52,0.0,0.0,0.0,0,4.7578125,3,192,07:12,16:36,2025-12-05 00:03:48.616355,Città della Scienza,90.0,23.705458,21.376938,14.740803,15.70546,54.6,19.631824,19.051052,7.5072465,7.049275,54.5,20.036728,11.792642,23.09709,17.169992,51.6,10.376812,8.811594,52.8
2025-12-05T00:03:59Z,0,29.669,63.0,59,54.3,5,2,342,83,0.09,255,32767,0.33,2066-1-19,0.27,1.71,47.52,0.0,0.0,0.0,0,4.7578125,3,192,07:12,16:36,2025-12-05 00:03:59.171354,Città della Scienza,90.0,23.705458,21.376938,14.740803,15.70546,54.6,19.631824,19.051052,7.5072465,7.049275,54.5,20.036728,11.792642,23.09709,17.169992,51.6,10.376812,8.811594,52.8
2025-12-05T00:04:09Z,0,29.668,63.0,59,54.3,5,3,346,83,0.09,255,32767,0.33,2066-1-19,0.27,1.71,47.52,0.0,0.0,0.0,0,4.7578125,3,192,07:12,16:36,2025-12-05 00:04:09.727355,Città della Scienza,90.0,23.705458,21.376938,14.740803,15.70546,54.6,19.631824,19.051052,7.5072465,7.049275,54.5,20.036728,11.792642,23.09709,17.169992,51.6,10.376812,8.811594,52.8
