Datetime,BarTrend,Barometer,TempIn,HumIn,TempOut,WindSpeed,WindSpeed10Min,WindDir,HumOut,RainRate,UV,SolarRad,RainStorm,StormStartDate,RainDay,RainMonth,RainYear,ETDay,ETMonth,ETYear,BatteryStatus,BatteryVolts,ForecastIcon,ForecastRuleNo,SunRise,SunSet,DatetimeWS,place,pm_10_3_hour,pm_10_24_hour,pm_2p5_1_hour,aqi_nowcast_val,pm_2p5_nowcast,pm_2p5_24_hour,pm_1,aqi_val,pm_2p5_3_hour,aqi_1_hour_val,pm_10_nowcast,pm_10_1_hour,pm_10,pm_2p5
2025-12-22T00:02:14Z,0,29.784,66.3,56,54.3,4,4,28,77,0.0,255,32767,0.0,2127-15-31,0.0,0.49,50.37,0.0,0.0,0.0,0,1.365234375,3,192,07:17,16:51,2025-12-22 00:02:14.499196,Castel Volturno,19.237518,20.328066,17.266634,29.98135,17.98881,18.022095,12.565217,27.512077,17.581297,28.777723,19.771675,18.87365,18.289856,16.507246
2025-12-22T00:02:25Z,0,29.784,66.3,56,54.3,4,4,86,77,0.0,255,32767,0.0,2127-15-31,0.0,0.49,50.37,0.0,0.0,0.0,0,1.365234375,3,192,07:17,16:51,2025-12-22 00:02:25.085194,Castel Volturno,19.237518,20.328066,17.266634,29.98135,17.98881,18.022095,12.565217,27.512077,17.581297,28.777723,19.771675,18.87365,18.289856,16.507246
2025-12-22T00:02:35Z,0,29.784,66.3,56,54.3,8,4,22,77,0.0,255,32767,0.0,2127-15-31,0.0,0.49,50.37,0.0,0.0,0.0,0,1.365234375,3,192,07:17,16:51,2025-12-22 00:02:35.639200,Castel Volturno,19.237518,20.328066,17.266634,29.98135,17.98881,18.022095,12.565217,27.512077,17.581297,28.777723,19.771675,18.87365,18.289856,16.507246
2025-12-22T00:02:46Z,0,29.784,66.3,56,54.3,4,4,75,77,0.0,255,32767,0.0,2127-15-31,0.0,0.49,50.37,0.0,0.0,0.0,0,1.365234375,3,192,07:17,16:51,2025-12-22 00:02:46.193203,Castel Volturno,19.237518,20.328066,17.266634,29.98135,17.98881,18.022095,12.565217,27.512077,17.581297,28.777723,19.771675,18.87365,18.289856,16.507246
2025-12-22T00:02:56Z,0,29.784,66.3,56,54.3,3,4,51,77,0.0,255,32767,0.0,2127-15-31,0.0,0.49,50.37,0.0,0.0,0.0,0,1.365234375,3,192,07:17,16:51,2025-12-22 00:02:56.748191,Castel Volturno,19.237518,20.328066,17.266634,29.98135,17.98881,18.022095,12.565217,27.512077,17.581297,28.777723,19.771675,18.87365,18.289856,16.507246
2025-12-22T00:03:07Z,0,29.781,66.3,56,54.3,2,4,71,77,0.0,255,32767,0.0,2127-15-31,0.0,0.49,50.37,0.0,0.0,0.0,0,0.732421875,3,192,07:17,16:51,2025-12-22 00:03:07.302201,Castel Volturno,19.237518,20.328066,17.266634,29.98135,17.98881,18.022095,12.565217,27.512077,17.581297,28.777723,19.771675,18.87365,18.289856,16.507246
2025-12-22T00:03:18Z,0,29.781,66.3,56,54.3,5,4,45,77,0.0,255,32767,0.0,2127-15-31,0.0,0.49,50.37,0.0,0.0,0.0,0,0.732421875,3,192,07:17,16:51,2025-12-22 00:03:17.856194,Castel Volturno,19.237518,20.328066,17.266634,29.98135,17.98881,18.022095,12.565217,27.512077,17.581297,28.777723,19.771675,18.87365,18.289856,16.507246
2025-12-22T00:03:28Z,0,29.781,66.3,56,54.3,3,4,101,77,0.0,255,32767,0.0,2127-15-31,0.0,0.49,50.37,0.0,0.0,0.0,0,0.732421875,3,192,07:17,16:51,2025-12-22 00:03:28.410188,Castel Volturno,19.237518,20.328066,17.266634,29.98135,17.98881,18.022095,12.565217,27.512077,17.581297,28.777723,19.771675,18.87365,18.289856,16.507246
2025-12-22T00:03:39Z,0,29.781,66.3,56,54.3,2,4,346,77,0.0,255,32767,0.0,2127-15-31,0.0,0.49,50.37,0.0,0.0,0.0,0,0.732421875,3,192,07:17,16:51,2025-12-22 00:03:38.964196,Castel Volturno,19.237518,20.328066,17.266634,29.98135,17.98881,18.022095,12.565217,27.512077,17.581297,28.777723,19.771675,18.87365,18.289856,16.507246
2025-12-22T00:03:49Z,0,29.781,66.3,56,54.3,2,4,9,77,0.0,255,32767,0.0,2127-15-31,0.0,0.49,50.37,0.0,0.0,0.0,0,0.732421875,3,192,07:17,16:51,2025-12-22 00:03:49.518194,Castel Volturno,19.237518,20.328066,17.266634,29.98135,17.98881,18.022095,12.565217,27.512077,17.581297,28.777723,19.771675,18.87365,18.289856,16.507246
