Datetime,BarTrend,Barometer,TempIn,HumIn,TempOut,WindSpeed,WindSpeed10Min,WindDir,HumOut,RainRate,UV,SolarRad,RainStorm,StormStartDate,RainDay,RainMonth,RainYear,ETDay,ETMonth,ETYear,BatteryStatus,BatteryVolts,ForecastIcon,ForecastRuleNo,SunRise,SunSet,DatetimeWS,place,hum,pm_10_3_hour,pm_10_24_hour,pm_2p5_1_hour,aqi_nowcast_val,heat_index,pm_2p5_nowcast,pm_2p5_24_hour,pm_1,aqi_val,temp,pm_2p5_3_hour,aqi_1_hour_val,pm_10_nowcast,pm_10_1_hour,dew_point,pm_10,pm_2p5,wet_bulb
2025-12-13T00:00:03Z,0,30.12,64.1,55,46.9,4,3,49,84,0.0,255,32767,0.0,2127-15-31,0.0,0.0,49.88,0.0,0.0,0.0,0,1.341796875,6,44,07:10,16:50,2025-12-13 00:00:03.396681,Castel Volturno,68.2,63.23949,93.44908,49.638126,70.62268,52.6,50.62268,82.18698,33.941177,72.132355,53.4,50.622936,69.63812,63.145306,61.751717,43.2,65.48529,52.132355,47.3
2025-12-13T00:00:14Z,0,30.12,64.1,55,46.9,6,3,351,84,0.0,255,32767,0.0,2127-15-31,0.0,0.0,49.88,0.0,0.0,0.0,0,1.341796875,6,44,07:10,16:50,2025-12-13 00:00:13.951672,Castel Volturno,68.2,63.23949,93.44908,49.638126,70.62268,52.6,50.62268,82.18698,33.941177,72.132355,53.4,50.622936,69.63812,63.145306,61.751717,43.2,65.48529,52.132355,47.3
2025-12-13T00:00:25Z,0,30.12,64.1,55,46.9,2,3,253,84,0.0,255,32767,0.0,2127-15-31,0.0,0.0,49.88,0.0,0.0,0.0,0,1.341796875,6,44,07:10,16:50,2025-12-13 00:00:25.035691,Castel Volturno,68.2,63.23949,93.44908,49.638126,70.62268,52.6,50.62268,82.18698,33.941177,72.132355,53.4,50.622936,69.63812,63.145306,61.751717,43.2,65.48529,52.132355,47.3
2025-12-13T00:00:35Z,0,30.12,64.1,55,46.8,1,3,341,84,0.0,255,32767,0.0,2127-15-31,0.0,0.0,49.88,0.0,0.0,0.0,0,1.341796875,6,44,07:10,16:50,2025-12-13 00:00:35.589691,Castel Volturno,68.2,63.23949,93.44908,49.638126,70.62268,52.6,50.62268,82.18698,33.941177,72.132355,53.4,50.622936,69.63812,63.145306,61.751717,43.2,65.48529,52.132355,47.3
2025-12-13T00:00:46Z,0,30.12,64.1,55,46.9,4,3,97,84,0.0,255,32767,0.0,2127-15-31,0.0,0.0,49.88,0.0,0.0,0.0,0,1.341796875,6,44,07:10,16:50,2025-12-13 00:00:46.144649,Castel Volturno,68.2,63.23949,93.44908,49.638126,70.62268,52.6,50.62268,82.18698,33.941177,72.132355,53.4,50.622936,69.63812,63.145306,61.751717,43.2,65.48529,52.132355,47.3
2025-12-13T00:00:56Z,0,30.12,64.1,55,46.8,4,3,9,84,0.0,255,32767,0.0,2127-15-31,0.0,0.0,49.88,0.0,0.0,0.0,0,1.341796875,6,44,07:10,16:50,2025-12-13 00:00:56.699691,Castel Volturno,68.2,63.23949,93.44908,49.638126,70.62268,52.6,50.62268,82.18698,33.941177,72.132355,53.4,50.622936,69.63812,63.145306,61.751717,43.2,65.48529,52.132355,47.3
2025-12-13T00:01:21Z,0,30.12,64.1,55,46.9,6,3,23,84,0.0,255,32767,0.0,2127-15-31,0.0,0.0,49.88,0.0,0.0,0.0,0,0.955078125,6,44,07:10,16:50,2025-12-13 00:01:20.808691,Castel Volturno,68.2,63.23949,93.44908,49.638126,70.62268,52.6,50.62268,82.18698,33.941177,72.132355,53.4,50.622936,69.63812,63.145306,61.751717,43.2,65.48529,52.132355,47.3
2025-12-13T00:01:31Z,0,30.12,64.1,55,46.8,3,3,32,84,0.0,255,32767,0.0,2127-15-31,0.0,0.0,49.88,0.0,0.0,0.0,0,0.955078125,6,44,07:10,16:50,2025-12-13 00:01:31.362712,Castel Volturno,68.2,63.23949,93.44908,49.638126,70.62268,52.6,50.62268,82.18698,33.941177,72.132355,53.4,50.622936,69.63812,63.145306,61.751717,43.2,65.48529,52.132355,47.3
2025-12-13T00:01:42Z,0,30.12,64.1,55,46.8,4,3,350,84,0.0,255,32767,0.0,2127-15-31,0.0,0.0,49.88,0.0,0.0,0.0,0,0.955078125,6,44,07:10,16:50,2025-12-13 00:01:41.916646,Castel Volturno,68.2,63.23949,93.44908,49.638126,70.62268,52.6,50.62268,82.18698,33.941177,72.132355,53.4,50.622936,69.63812,63.145306,61.751717,43.2,65.48529,52.132355,47.3
2025-12-13T00:01:52Z,0,30.12,64.1,55,46.9,1,3,32,84,0.0,255,32767,0.0,2127-15-31,0.0,0.0,49.88,0.0,0.0,0.0,0,0.955078125,6,44,07:10,16:50,2025-12-13 00:01:52.451678,Castel Volturno,68.2,63.23949,93.44908,49.638126,70.62268,52.6,50.62268,82.18698,33.941177,72.132355,53.4,50.622936,69.63812,63.145306,61.751717,43.2,65.48529,52.132355,47.3
2025-12-13T00:02:03Z,0,30.123,64.1,55,46.9,1,3,360,84,0.0,255,32767,0.0,2127-15-31,0.0,0.0,49.88,0.0,0.0,0.0,0,0.767578125,6,44,07:10,16:50,2025-12-13 00:02:03.021685,Castel Volturno,68.2,63.23949,93.44908,49.638126,70.62268,52.6,50.62268,82.18698,33.941177,72.132355,53.4,50.622936,69.63812,63.145306,61.751717,43.2,65.48529,52.132355,47.3
2025-12-13T00:02:13Z,0,30.123,64.1,55,46.8,3,3,34,84,0.0,255,32767,0.0,2127-15-31,0.0,0.0,49.88,0.0,0.0,0.0,0,0.767578125,6,44,07:10,16:50,2025-12-13 00:02:13.610650,Castel Volturno,68.2,63.23949,93.44908,49.638126,70.62268,52.6,50.62268,82.18698,33.941177,72.132355,53.4,50.622936,69.63812,63.145306,61.751717,43.2,65.48529,52.132355,47.3
2025-12-13T00:02:24Z,0,30.123,64.1,55,46.8,6,3,38,84,0.0,255,32767,0.0,2127-15-31,0.0,0.0,49.88,0.0,0.0,0.0,0,0.767578125,6,44,07:10,16:50,2025-12-13 00:02:24.197688,Castel Volturno,68.2,63.23949,93.44908,49.638126,70.62268,52.6,50.62268,82.18698,33.941177,72.132355,53.4,50.622936,69.63812,63.145306,61.751717,43.2,65.48529,52.132355,47.3
2025-12-13T00:02:34Z,0,30.123,64.1,55,46.8,5,3,27,84,0.0,255,32767,0.0,2127-15-31,0.0,0.0,49.88,0.0,0.0,0.0,0,0.767578125,6,44,07:10,16:50,2025-12-13 00:02:34.751688,Castel Volturno,68.2,63.23949,93.44908,49.638126,70.62268,52.6,50.62268,82.18698,33.941177,72.132355,53.4,50.622936,69.63812,63.145306,61.751717,43.2,65.48529,52.132355,47.3
2025-12-13T00:02:45Z,0,30.123,64.1,55,46.8,2,3,53,84,0.0,255,32767,0.0,2127-15-31,0.0,0.0,49.88,0.0,0.0,0.0,0,0.767578125,6,44,07:10,16:50,2025-12-13 00:02:45.306687,Castel Volturno,68.2,63.23949,93.44908,49.638126,70.62268,52.6,50.62268,82.18698,33.941177,72.132355,53.4,50.622936,69.63812,63.145306,61.751717,43.2,65.48529,52.132355,47.3
2025-12-13T00:02:56Z,0,30.123,64.1,55,46.8,3,3,277,84,0.0,255,32767,0.0,2127-15-31,0.0,0.0,49.88,0.0,0.0,0.0,0,0.767578125,6,44,07:10,16:50,2025-12-13 00:02:55.860682,Castel Volturno,68.2,63.23949,93.44908,49.638126,70.62268,52.6,50.62268,82.18698,33.941177,72.132355,53.4,50.622936,69.63812,63.145306,61.751717,43.2,65.48529,52.132355,47.3
2025-12-13T00:03:06Z,0,30.124,64.1,55,46.8,4,4,36,84,0.0,255,32767,0.0,2127-15-31,0.0,0.0,49.88,0.0,0.0,0.0,0,0.767578125,6,44,07:10,16:50,2025-12-13 00:03:06.415687,Castel Volturno,68.2,63.23949,93.44908,49.638126,70.62268,52.6,50.62268,82.18698,33.941177,72.132355,53.4,50.622936,69.63812,63.145306,61.751717,43.2,65.48529,52.132355,47.3
