Datetime,BarTrend,Barometer,TempIn,HumIn,TempOut,WindSpeed,WindSpeed10Min,WindDir,HumOut,RainRate,UV,SolarRad,RainStorm,StormStartDate,RainDay,RainMonth,RainYear,ETDay,ETMonth,ETYear,BatteryStatus,BatteryVolts,ForecastIcon,ForecastRuleNo,SunRise,SunSet,DatetimeWS,place,hum,pm_10_3_hour,pm_10_24_hour,pm_2p5_1_hour,aqi_nowcast_val,aqi_type,heat_index,pm_2p5_nowcast,pm_2p5_24_hour,tz_offset,pm_1,pct_pm_data_nowcast,pct_pm_data_24_hour,wet_bulb,aqi_val,aqi_desc,temp,pm_2p5_3_hour,pct_pm_data_3_hour,last_report_time,aqi_nowcast_desc,aqi_1_hour_val,pm_10_nowcast,aqi_1_hour_desc,pm_10_1_hour,dew_point,pm_10,pct_pm_data_1_hour,ts,pm_2p5
2025-02-13T00:00:04Z,0,30.091,72.6,36,50.4,8,8,77,78,0.0,255,32767,0.0,2127-15-31,0.0,0.02,21.12,0.0,0.0,0.0,0,0.884765625,6,44,07:00,17:46,2025-02-13 00:00:04.438825,Marina di Stabia,31.1,6.639279,14.05905,5.7798514,10.930394,EU EEA Common AQI,73.8,6.5582366,13.21546,3600,4.811594,100,100,51.4,8.937198,Very Low,75.5,6.355935,100,1739186100,Very Low,9.633085,6.8510075,Very Low,6.062216,42.9,5.362319,100,1739186100,5.362319
2025-02-13T00:00:15Z,0,30.091,72.6,36,50.4,9,8,77,78,0.0,255,32767,0.0,2127-15-31,0.0,0.02,21.12,0.0,0.0,0.0,0,0.884765625,6,44,07:00,17:46,2025-02-13 00:00:15.539817,Marina di Stabia,31.1,6.639279,14.05905,5.7798514,10.930394,EU EEA Common AQI,73.8,6.5582366,13.21546,3600,4.811594,100,100,51.4,8.937198,Very Low,75.5,6.355935,100,1739186100,Very Low,9.633085,6.8510075,Very Low,6.062216,42.9,5.362319,100,1739186100,5.362319
2025-02-13T00:00:26Z,0,30.091,72.6,36,50.4,9,8,77,78,0.0,255,32767,0.0,2127-15-31,0.0,0.02,21.12,0.0,0.0,0.0,0,0.884765625,6,44,07:00,17:46,2025-02-13 00:00:26.705832,Marina di Stabia,31.1,6.639279,14.05905,5.7798514,10.930394,EU EEA Common AQI,73.8,6.5582366,13.21546,3600,4.811594,100,100,51.4,8.937198,Very Low,75.5,6.355935,100,1739186100,Very Low,9.633085,6.8510075,Very Low,6.062216,42.9,5.362319,100,1739186100,5.362319
2025-02-13T00:00:38Z,0,30.091,72.6,36,50.4,8,8,77,78,0.0,255,32767,0.0,2127-15-31,0.0,0.02,21.12,0.0,0.0,0.0,0,0.884765625,6,44,07:00,17:46,2025-02-13 00:00:37.811818,Marina di Stabia,31.1,6.639279,14.05905,5.7798514,10.930394,EU EEA Common AQI,73.8,6.5582366,13.21546,3600,4.811594,100,100,51.4,8.937198,Very Low,75.5,6.355935,100,1739186100,Very Low,9.633085,6.8510075,Very Low,6.062216,42.9,5.362319,100,1739186100,5.362319
2025-02-13T00:00:49Z,0,30.091,72.6,36,50.4,8,8,77,78,0.0,255,32767,0.0,2127-15-31,0.0,0.02,21.12,0.0,0.0,0.0,0,0.884765625,6,44,07:00,17:46,2025-02-13 00:00:48.917830,Marina di Stabia,31.1,6.639279,14.05905,5.7798514,10.930394,EU EEA Common AQI,73.8,6.5582366,13.21546,3600,4.811594,100,100,51.4,8.937198,Very Low,75.5,6.355935,100,1739186100,Very Low,9.633085,6.8510075,Very Low,6.062216,42.9,5.362319,100,1739186100,5.362319
2025-02-13T00:01:00Z,0,30.093,72.5,36,50.5,8,8,77,78,0.0,255,32767,0.0,2127-15-31,0.0,0.02,21.12,0.0,0.0,0.0,0,1.7109375,6,44,07:00,17:46,2025-02-13 00:01:00.011819,Marina di Stabia,31.1,6.639279,14.05905,5.7798514,10.930394,EU EEA Common AQI,73.8,6.5582366,13.21546,3600,4.811594,100,100,51.4,8.937198,Very Low,75.5,6.355935,100,1739186100,Very Low,9.633085,6.8510075,Very Low,6.062216,42.9,5.362319,100,1739186100,5.362319
2025-02-13T00:01:11Z,0,30.093,72.5,36,50.5,8,8,76,78,0.0,255,32767,0.0,2127-15-31,0.0,0.02,21.12,0.0,0.0,0.0,0,1.7109375,6,44,07:00,17:46,2025-02-13 00:01:11.117838,Marina di Stabia,31.1,6.639279,14.05905,5.7798514,10.930394,EU EEA Common AQI,73.8,6.5582366,13.21546,3600,4.811594,100,100,51.4,8.937198,Very Low,75.5,6.355935,100,1739186100,Very Low,9.633085,6.8510075,Very Low,6.062216,42.9,5.362319,100,1739186100,5.362319
2025-02-13T00:01:22Z,0,30.093,72.5,36,50.5,8,8,76,78,0.0,255,32767,0.0,2127-15-31,0.0,0.02,21.12,0.0,0.0,0.0,0,1.7109375,6,44,07:00,17:46,2025-02-13 00:01:22.206825,Marina di Stabia,31.1,6.639279,14.05905,5.7798514,10.930394,EU EEA Common AQI,73.8,6.5582366,13.21546,3600,4.811594,100,100,51.4,8.937198,Very Low,75.5,6.355935,100,1739186100,Very Low,9.633085,6.8510075,Very Low,6.062216,42.9,5.362319,100,1739186100,5.362319
2025-02-13T00:01:33Z,0,30.093,72.5,36,50.5,8,8,76,78,0.0,255,32767,0.0,2127-15-31,0.0,0.02,21.12,0.0,0.0,0.0,0,1.7109375,6,44,07:00,17:46,2025-02-13 00:01:33.353824,Marina di Stabia,31.1,6.639279,14.05905,5.7798514,10.930394,EU EEA Common AQI,73.8,6.5582366,13.21546,3600,4.811594,100,100,51.4,8.937198,Very Low,75.5,6.355935,100,1739186100,Very Low,9.633085,6.8510075,Very Low,6.062216,42.9,5.362319,100,1739186100,5.362319
2025-02-13T00:01:44Z,0,30.093,72.5,36,50.5,8,8,76,78,0.0,255,32767,0.0,2127-15-31,0.0,0.02,21.12,0.0,0.0,0.0,0,1.7109375,6,44,07:00,17:46,2025-02-13 00:01:44.461828,Marina di Stabia,31.1,6.639279,14.05905,5.7798514,10.930394,EU EEA Common AQI,73.8,6.5582366,13.21546,3600,4.811594,100,100,51.4,8.937198,Very Low,75.5,6.355935,100,1739186100,Very Low,9.633085,6.8510075,Very Low,6.062216,42.9,5.362319,100,1739186100,5.362319
